,Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Month,Year,URL,Number of additional authors,Non-English,Interdisciplinary,Forensic science,Criminology,Propose double weighting,Is reserve output,Research group,Open access status,Citations applicable,Citation count,Cross-referral requested,Supplementary information,Delayed by COVID19,REF2ID,Incl sig material before 2014,Incl reseach process,Incl factual info about significance
69972,10007154,"University of Nottingham, The",B,11,Computer Science and Informatics,,,,E,From director’s cut to user’s cut: To watch a brain-controlled film is to edit it,,,CHI '19: proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,2019-May,,1,,,,10.1145/3290605.3300378,,May,2019.0,,3.0,,Yes,,,,,,,Yes,0.0,,,,53bd4b97-1aa8-4773-a22c-df7ee6391354,0,0,1
69974,10007772,Edinburgh Napier University,B,11,Computer Science and Informatics,,,,D,From disorganized equality to efficient hierarchy: how group size drives the evolution of hierarchy in human societies,,,Proceedings of the Royal Society B: Biological Sciences,287,1928,,20200693,,0962-8452,10.1098/rspb.2020.0693,,June,2020.0,,2.0,,Yes,,,,,,Compliant,Yes,1.0,,https://rs.figshare.com/collections/Supplementary_material_from_From_disorganized_equality_to_efficient_hierarchy_how_group_size_drives_the_evolution_of_hierarchy_in_human_societies_/4973075,,4ae39c6c-1161-45fa-aa35-facd6f51bda1,0,0,1
69977,10007799,University of Newcastle upon Tyne,B,11,Computer Science and Informatics,,,,E,From Dissipativity Theory to Compositional Construction of Finite Markov Decision Processes,,,Proceedings of the 21st International Conference on Hybrid Systems: Computation and Control (part of CPS Week),,,21,,,,10.1145/3178126.3178135,,April,2018.0,https://doi.org/10.1145/3178126.3178135,2.0,,,,,,,A - Advanced Model-Based Engineering and Reasoning (AMBER),,Yes,16.0,,,,28b0eff2-bad1-49ff-9fc9-82b0996acb92,0,0,1
70000,10007141,University of Central Lancashire,B,11,Computer Science and Informatics,,,,D,From England to Uganda: Children Designing and Evaluating Serious Games,,,Human-Computer Interaction,30,3-4,263,,,0737-0024,10.1080/07370024.2014.984034,,December,2014.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,8.0,,,,b64f3545-4e4f-44c6-ab32-689807243718,0,0,1
70018,10004180,Manchester Metropolitan University,B,11,Computer Science and Informatics,,,,D,From Eyes to Face Synthesis: a New Approach for Human-Centered Smart Surveillance,,,IEEE Access,6,,14567,,,2169-3536,10.1109/access.2018.2803787,,February,2018.0,https://e-space.mmu.ac.uk/627182/,4.0,,,,,,,A - Data Science,Compliant,Yes,6.0,,,,6135644a-b91f-4e6e-8532-61aecc9daaf9,0,0,1
70019,10007159,University of Sunderland,B,11,Computer Science and Informatics,,,,D,From Eyes to Face synthesis: a new approach for human-centered smart surveillance,,,IEEE Access,6,99,14567,,,2169-3536,10.1109/ACCESS.2018.2803787,,February,2018.0,http://sure.sunderland.ac.uk/id/eprint/8956/,4.0,,,,,,,,Compliant,Yes,6.0,,,,d40eb1db-26ef-4b7a-a4da-ab00e88de3dc,0,0,1
70030,10003270,"Imperial College of Science, Technology and Medicine",B,11,Computer Science and Informatics,,,,D,From fine-grained properties to broad principles for gradual argumentation: A principled spectrum,,,International Journal of Approximate Reasoning,105,1,252,,,0888-613X,10.1016/j.ijar.2018.11.019,,December,2018.0,,2.0,,,,,,,,Compliant,Yes,4.0,,10.1016/j.ijar.2018.11.019,,fc329728-9417-44cb-a4dd-50792a6398db,0,0,1
70115,10007772,Edinburgh Napier University,B,11,Computer Science and Informatics,,,,D,From Interest to Decision: A Comparative Exploration of Student Attitudes and Pathways to Co-op Programs in the United States and the United Kingdom,,,International Journal of Engineering Education,32,5A,1867,,,0949-149X,,,October,2016.0,,6.0,,,,,,,,Compliant,Yes,7.0,,,,ab68e2f9-d842-4908-ad84-ae7dd8a4dede,0,0,1
70121,10007154,"University of Nottingham, The",B,11,Computer Science and Informatics,,,,D,From Interval-Valued Data to General Type-2 Fuzzy Sets,,,IEEE Transactions on Fuzzy Systems,23,2,248,,,1063-6706,10.1109/tfuzz.2014.2310734,,March,2014.0,,4.0,,,,,,,,Out of scope for open access requirements,Yes,50.0,,,,a99c2cd5-ad9e-4cc0-8abf-dc8f3428360c,0,0,1
70127,10007814,Cardiff University / Prifysgol Caerdydd,B,11,Computer Science and Informatics,,,,D,From iterated revision to iterated contraction: extending the Harper Identity,,,Artificial Intelligence,277,,,103171,,0004-3702,10.1016/j.artint.2019.103171,,September,2019.0,http://dx.doi.org/10.1016/j.artint.2019.103171,1.0,,,,,,,A - Artificial intelligence and data analytics,Compliant,Yes,0.0,,,,ae429220-e031-4e7b-80b1-f458f90049dc,0,0,1
70185,10007150,The University of Kent,B,11,Computer Science and Informatics,,,,E,From MinX to MinC: semantics-driven decompilation of recursive datatypes,,,Proceedings of the 43rd Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages - POPL 2016,,,191,,,0362-1340,10.1145/2837614.2837633,,January,2016.0,https://kar.kent.ac.uk/51097/,2.0,,,,,,,,Out of scope for open access requirements,Yes,1.0,,,,0550f579-be84-4231-8aba-c1ab3dab00d8,0,0,1
70189,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,From model checking to equilibrium checking: reactive modules for rational verification,,,Artificial Intelligence,248,,123,,,0004-3702,10.1016/j.artint.2017.04.003,,April,2017.0,,2.0,,,,,,,,Compliant,Yes,11.0,,,,fd521501-a5fa-462d-82e2-e4f0f119b18c,0,0,1
70234,10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,D,From pairwise comparisons and rating to a unified quality scale,,,IEEE Transactions on Image Processing,29,0,1139,0,,1057-7149,10.1109/TIP.2019.2936103,,August,2019.0,,,,,,,,,,Compliant,Yes,0.0,,,,7cb40169-229a-46c6-854c-d8b37e317cb1,0,0,0
70286,10006840,The University of Birmingham,B,11,Computer Science and Informatics,,,,D,From QBFs to MALL and back via focussing,,,Journal of Automated Reasoning,64,7,1221,,,0168-7433,10.1007/s10817-020-09564-x,,May,2020.0,,0.0,,,,,,,,Compliant,Yes,0.0,,,,d0c49ba4-7f5f-437d-942d-3dcda6a030d2,0,0,1
70334,10007856,Aberystwyth University / Prifysgol Aberystwyth,B,11,Computer Science and Informatics,,,,D,From Saccades to Grasping : A Model of Coordinated Reaching Through Simulated Development on a Humanoid Robot,,,IEEE Transactions on Autonomous Mental Development,6,2,93,,,1943-0604,10.1109/TAMD.2014.2301934,,March,2014.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,14.0,,,,e2b04475-7463-4e3e-b777-acf3b2d74be8,0,0,1
70357,10007147,University of Hertfordshire,B,11,Computer Science and Informatics,,,,D,From Sensorimotor Experiences to Cognitive Development: : How Does Experiential Diversity Influence the Development of an Epigenetic Robot?,,,Frontiers in Robotics and AI,3,44,44.1,44,,2296-9144,10.3389/frobt.2016.00044,,August,2016.0,,2.0,,,,,,,,Compliant,Yes,7.0,,,,7e3417cf-89cd-4989-92ed-444e18b48654,0,0,1
70365,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,From Shortage to Surge: A Developmental Switch in Hippocampal–Prefrontal Coupling in a Gene–Environment Model of Neuropsychiatric Disorders,,,Cerebral Cortex,26,11,4265,,,1047-3211,10.1093/cercor/bhw274,,September,2016.0,,8.0,,Yes,,,,,A - Artificial Intelligence (AI),Compliant,Yes,25.0,,,,fd6af3e5-6b2a-444e-8ec2-84e1670d4c64,0,0,1
70405,10007801,University of Plymouth,B,11,Computer Science and Informatics,,,,D,From Structure to Activity: Using Centrality Measures to Predict Neuronal Activity,,,International Journal of Neural Systems,28,2,,1750013,,0129-0657,10.1142/S0129065717500137,,,2017.0,,1.0,,,,,,,,Compliant,Yes,19.0,,,,6dbc5813-a1da-439c-8579-31a0b9ddc067,0,0,1
70431,10007792,University of Exeter,B,11,Computer Science and Informatics,,,,D,From the betweenness centrality in street networks to structural invariants in random planar graphs,,,Nature Communications,9,1,,ARTN 2501,,2041-1723,10.1038/s41467-018-04978-z,,June,2018.0,,3.0,,,,,,,,Compliant,Yes,17.0,,,,c929958d-69f2-47f7-bbb9-4aed8b6267aa,0,0,1
70493,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,D,From Think Parallel to Think Sequential,,,ACM SIGMOD Record,47,1,15,,,0163-5808,10.1145/3277006.3277011,,September,2018.0,,7.0,,,,,,,C - Foundations of Computation,Compliant,Yes,0.0,,,,667f3161-cd4b-4903-b819-1d15fdc57c5f,0,0,1
70529,10007784,University College London,B,11,Computer Science and Informatics,,,,E,From word embeddings to document distances,,,"32nd International Conference on Machine Learning, ICML 2015",2,,957,,,2640-3498,,,July,2015.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,,,,,3b2f75fd-3450-4391-aa69-ebf840f596a9,0,0,1
70547,10001282,University of Northumbria at Newcastle,B,11,Computer Science and Informatics,,,,D,Frontal View Gait Recognition with Fusion of Depth Features from a Time of Flight Camera,,,IEEE Transactions on Information Forensics and Security,14,4,1067,,,1556-6013,10.1109/TIFS.2018.2870594,,September,2018.0,,4.0,,,,,,,E - Intelligent Systems Research Group (iSRG),Exception within 3 months of publication,Yes,2.0,,,,ca5c1ca7-b3d1-4c80-ba8f-48426fe03833,0,0,1
70548,10007851,University of Derby,B,11,Computer Science and Informatics,,,,D,Frontal view gait recognition with fusion of depth features from a time of flight camera,,,IEEE Transactions on Information Forensics and Security,14,4,1067,,,1556-6013,10.1109/TIFS.2018.2870594,,,2018.0,https://ieeexplore.ieee.org/abstract/document/8466800,4.0,,,,,,,,Compliant,Yes,2.0,,,,b14ed653-2fa7-47da-a9f3-9e286e591af4,0,0,1
70553,10005553,Royal Holloway and Bedford New College,B,11,Computer Science and Informatics,,,,D,Frontier : resilient edge processing for the internet of things,,,VLDB Endowment,11,10,1178,,,2150-8097,10.14778/3231751.3231767,,June,2018.0,,2.0,,,,,,,,Technical exception,Yes,1.0,,,,c059d2b5-06cd-45c3-8c59-92f5d7a89147,0,0,1
70610,10007158,University of Southampton,B,11,Computer Science and Informatics,,,,D,Frustration tuning and perfect phase synchronization in the Kuramoto-Sakaguchi model,,,Physical Review E,93,6,,062315,,1539-3755,10.1103/PhysRevE.93.062315,,June,2016.0,,1.0,,Yes,,,,,,Compliant,Yes,13.0,,,,bb08c822-d93b-451f-8e48-d4768f71c5d9,0,0,1
70686,10004113,Loughborough University,B,11,Computer Science and Informatics,,,,D,Full-reference stereoscopic video quality assessment using a motion sensitive HVS model,,,IEEE Transactions on Circuits and Systems for Video Technology,31,2,452,,,1051-8215,10.1109/TCSVT.2020.2981248,,March,2020.0,,3.0,,,,,,,,Compliant,Yes,,,,,fa0af17e-9aa5-44ab-9121-f14f65c457c3,0,0,1
70704,10007807,University of Ulster,B,11,Computer Science and Informatics,,,,D,Fully automated breast boundary and pectoral muscle segmentation in mammograms,,,Artificial Intelligence in Medicine,79,,28,,,0933-3657,10.1016/j.artmed.2017.06.001,,June,2017.0,,3.0,,,,,,,C - Pervasive Computing Research Centre,Compliant,Yes,24.0,,,,c9ffea03-9b3b-4389-b6e6-d597070773f4,0,0,1
70706,10004180,Manchester Metropolitan University,B,11,Computer Science and Informatics,,,,D,Fully automated image-based estimation of postural point-features in children with cerebral palsy using deep learning,,,Royal Society Open Science,6,11,,191011,,2054-5703,10.1098/rsos.191011,,November,2019.0,https://e-space.mmu.ac.uk/624142/,4.0,,Yes,,,,,B - Human Centred-Computing,Compliant,Yes,1.0,,,,29480cb2-2f95-4803-be28-f24a706b9abd,0,0,1
70708,10007788,University of Cambridge,B,11,Computer Science and Informatics,,,,D,Fully Automatic Analysis of Engagement and Its Relationship to Personality in Human-Robot Interactions,,,IEEE Access,5,,705,,,2169-3536,10.1109/ACCESS.2016.2614525,,January,2017.0,,4.0,,,,,,,,Compliant,Yes,30.0,,,,ee0ec64b-2df9-4d06-9c0b-f46eebc1ef54,0,0,1
70709,10007151,University of Lincoln,B,11,Computer Science and Informatics,,,,D,Fully automatic segmentation and objective assessment of atrial scars for longstanding persistent atrial fibrillation patients using late gadolinium-enhanced MRI,,,Medical Physics,45,4,1562,,,0094-2405,10.1002/mp.12832,,April,2018.0,,12.0,,,,,,,,Compliant,Yes,13.0,,,,825c11bd-905f-4191-9e27-dda8ea5657b2,0,0,0
70720,10007163,The University of Warwick,B,11,Computer Science and Informatics,,,,E,Fully dynamic approximate maximum matching and minimum vertex cover in O(log3 n) worst case update time,"Barcelona, Spain",SIAM,Twenty-Eighth Annual ACM-SIAM Symposium on Discrete Algorithms,,,470,,9781611974782,,10.1137/1.9781611974782.30,,,2017.0,,2.0,,,,,,,T - Theory and Foundations,,Yes,18.0,,,,136aae70-388b-4245-9c12-7a7fad02a11a,0,0,1
70722,10007786,University of Bristol,B,11,Computer Science and Informatics,,,,D,Fully homomorphic SIMD operations,,,"Designs, Codes and Cryptography",71,1,57,,,0925-1022,10.1007/s10623-012-9720-4,,April,2014.0,,1.0,,,,,,,B - Cybersecurity and Cryptography,Out of scope for open access requirements,Yes,157.0,,,,c3b98414-cf03-49ba-89cf-c040cb1b4a3d,0,0,1
70736,10007768,The University of Lancaster,B,11,Computer Science and Informatics,,,,D,Fully online clustering of evolving data streams into arbitrarily shaped clusters,,,Information Sciences,382-383,,96,,,0020-0255,10.1016/j.ins.2016.12.004,,December,2016.0,,2.0,,,,,,,B - Data Science,Compliant,Yes,42.0,,,,21cb1c11-74fd-47fd-877d-15b96d4ec6fd,0,0,1
70744,10007768,The University of Lancaster,B,11,Computer Science and Informatics,,,,D,Fully unsupervised fault detection and identification based on recursive density estimation and self-evolving cloud-based classifier,,,Neurocomputing,150,A,289,,,0925-2312,10.1016/j.neucom.2014.05.086,,February,2015.0,,2.0,,,,,,,B - Data Science,Out of scope for open access requirements,Yes,71.0,,,,38c54d26-31c9-4362-99a3-29cafdc02ca9,0,0,1
70768,10007767,University of Keele,B,11,Computer Science and Informatics,,,,D,Function Approximation Using Combined Unsupervised and Supervised Learning,,,IEEE Transactions on Neural Networks and Learning Systems,25,3,495,,,2162-2388,10.1109/TNNLS.2013.2276044,,March,2014.0,https://ieeexplore.ieee.org/document/6589012,0.0,,,,,,,,Out of scope for open access requirements,Yes,9.0,,,,b86b044b-04ad-4de9-b477-8018c56859aa,0,0,1
70771,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,E,Function Merging by Sequence Alignment,,,2019 IEEE/ACM International Symposium on Code Generation and Optimization (CGO),,,149,,,2164-2397,10.1109/CGO.2019.8661174,,February,2019.0,,4.0,,,,,,,A - Computer Systems,Compliant,Yes,3.0,,,,cd8c62f0-b6b1-494e-8dd6-623fbb5370cb,0,0,1
70772,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,E,Function Merging by Sequence Alignment,,,CGO 2019 - Proceedings of the 2019 IEEE/ACM International Symposium on Code Generation and Optimization,,,0,,,,10.1109/CGO.2019.8661174,,March,2019.0,,4.0,,,,,,,A - Computer Science,,Yes,3.0,,,,3b60e969-654f-4f60-91ba-6f5dbe67b081,0,0,1
70775,10007807,University of Ulster,B,11,Computer Science and Informatics,,,,D,Function point analysis using NESMA: simplifying the sizing without simplifying the size,,,Software Quality Journal,22,4,611,,,0963-9314,10.1007/s11219-013-9215-1,,December,2014.0,,2.0,,,,,,,B - Artificial Intelligence Research Centre,Out of scope for open access requirements,Yes,2.0,,,,dd3af1fb-d3ad-4631-8997-811a003a5144,0,0,1
70893,10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,D,Functional network dysconnectivity as a biomarker of treatment resistance in schizophrenia,,,Schizophrenia Research,195,,160,,,0920-9964,10.1016/j.schres.2017.10.015,,,2018.0,https://www.sciencedirect.com/science/article/pii/S0920996417306242,,,,,,,,,Technical exception,Yes,16.0,,,,2bd03904-9d33-48b3-8c93-147d95487ee7,0,0,1
70914,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,D,Functional Programming for Modular Bayesian Inference,,,Proceedings of the ACM on Programming Languages (PACMPL),2,ICFP,,83,,2475-1421,10.1145/3236778,,July,2018.0,,2.0,,,,,,,C - Foundations of Computation,Compliant,Yes,1.0,,,,31c95ee0-f3db-4f01-a6f9-b387c0e82c4e,0,0,1
70968,10007148,The University of Huddersfield,B,11,Computer Science and Informatics,,,,D,"Function-Based Search of Place Using Theoretical, Empirical and Probabilistic Patterns",,,ISPRS International Journal of Geo-Information,8,2,1,92,,2220-9964,10.3390/ijgi8020092,,February,2019.0,,3.0,,,,,,,,Compliant,Yes,1.0,,,,90632c77-7f11-4dbe-b9af-4e8806821708,0,0,1
70995,10007167,University of York,B,11,Computer Science and Informatics,,,,D,Fundamental limits of repeaterless quantum communications,,,Nature Communications,8,,,15043,,2041-1723,10.1038/ncomms15043,,April,2017.0,,3.0,,,,,,,,Compliant,Yes,355.0,,,,b9eb1b5f-aff5-450e-9db7-d85c12f45d35,0,0,1
70996,10007167,University of York,B,11,Computer Science and Informatics,,,,D,Fundamental limits to quantum channel discrimination,,,npj Quantum Information,5,,,3,,2056-6387,10.1038/s41534-019-0162-y,,June,2019.0,,3.0,,,,,,,,Compliant,Yes,22.0,,,,695c9b5f-65de-482d-b276-89d678066c95,0,0,1
71057,10007785,The University of Bradford,B,11,Computer Science and Informatics,,,,D,Further results on generalised communicating P systems,,,Theoretical Computer Science,701,,146,,,0304-3975,10.1016/j.tcs.2017.05.020,,,2017.0,https://www.sciencedirect.com/science/article/abs/pii/S0304397517304553?via%3Dihub,4.0,,,,,,,,Compliant,Yes,4.0,,,,410892fe-68b2-486e-98f8-1fa8eac49c59,0,0,1
71067,10007800,University of the West of Scotland,B,11,Computer Science and Informatics,,,,D,Fusing highly dimensional energy and connectivity features to identify affective states from EEG signals,,,Neurocomputing,244,,81,,,0925-2312,10.1016/j.neucom.2017.03.027,,March,2017.0,,2.0,,,,,,,,Compliant,Yes,28.0,,,,77dd421e-bc53-4fd8-8df3-da3514333049,0,0,1
71075,10007784,University College London,B,11,Computer Science and Informatics,,,,D,Fusion of finite set distributions: Pointwise consistency and global cardinality,,,IEEE Transactions on Aerospace and Electronic Systems,55,6,2759,,,0018-9251,10.1109/TAES.2019.2893083,,January,2019.0,,4.0,,,,,,,,Exception within 3 months of publication,Yes,6.0,,,,fa05b0dd-f515-42af-9b08-55dd86c52516,0,0,1
71078,10007807,University of Ulster,B,11,Computer Science and Informatics,,,,D,Fusion of Random Walk and Discrete Fourier Spectrum Methods for Gait Recognition,,,IEEE Transactions on Human-Machine Systems,47,6,751,,,2168-2291,10.1109/THMS.2017.2706658,,May,2017.0,,3.0,,,,,,,A - Intelligent Systems Research Centre,Compliant,Yes,6.0,,,,34eeab49-c45c-447f-a811-0183571726e9,0,0,1
71079,10007775,Queen Mary University of London,B,11,Computer Science and Informatics,,,,D,Fusion of Range and Stereo Data for High-Resolution Scene-Modeling,,,IEEE Transactions on Pattern Analysis and Machine Intelligence,37,11,2178,,,0162-8828,10.1109/TPAMI.2015.2400465,,February,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,17.0,,,,a24670b1-ea9a-4373-b929-442faa109cb0,0,0,1
